subject,Coherence (%),Correct (1) / Incorrect (0),RT (s)
31727,10,1,3.529
31727,40,0,2.242
31727,5,0,0.979
31727,40,1,4.526
31727,0,1,7.387
31727,0,0,5.082
31727,10,1,3.355
31727,10,1,2.142
31727,40,1,1.135
31727,10,1,1.055
31727,40,1,1.545
31727,0,0,8.766
31727,10,1,6.082
31727,0,0,2.183
31727,40,1,1.79
31727,40,1,2.372
31727,40,1,1.19
31727,40,1,0.97
31727,10,1,1.162
31727,0,0,1.222
31727,40,1,0.928
31727,10,1,2.597
31727,5,0,2.802
31727,0,1,0.851
31727,5,1,1.678
31727,0,1,1.321
31727,0,1,0.976
31727,10,1,1.364
31727,5,1,1.305
31727,10,0,1.259
31727,5,0,1.73
31727,0,1,3.256
31727,5,1,2.303
31727,5,1,5.699
31727,40,1,2.021
31727,5,0,2.736
31727,40,1,0.789
31727,0,1,2.965
31727,0,0,7.979
31727,10,1,3.419
31727,40,1,0.838
31727,40,1,1.015
31727,0,1,5.977
31727,10,1,2.143
31727,0,0,2.839
31727,5,0,2.118
31727,40,1,0.807
31727,0,1,5.053
31727,40,1,1.661
31727,5,1,1.422
31727,10,0,1.095
31727,0,0,1.173
31727,40,1,0.738
31727,40,1,1.13
31727,0,0,1.309
31727,0,1,0.882
31727,5,1,5.497
31727,0,0,2.559
31727,10,0,3.527
31727,40,1,0.954
31727,0,1,5.588
31727,5,1,2.137
31727,40,1,0.725
31727,40,1,0.789
31727,10,0,1.061
31727,0,0,1.315
31727,5,0,1.966
31727,5,1,0.771
31727,5,0,3.214
31727,5,1,1.163
31727,0,0,1.708
31727,40,1,1.011
31727,0,1,3.238
31727,5,1,2.517
31727,40,1,1.087
31727,40,1,0.785
31727,5,1,1.438
31727,5,1,1.417
31727,5,0,3.212
31727,40,1,0.786
31727,0,1,2.714
31727,5,1,2.578
31727,0,0,1.274
31727,10,1,2.171
31727,5,0,2.68
31727,5,0,1.184
31727,10,0,2.392
31727,5,0,3.634
31727,10,1,1.29
31727,40,1,0.764
31727,5,0,0.973
31727,40,1,0.817
31727,10,1,2.386
31727,0,1,2.534
31727,40,1,0.836
31727,40,1,0.848
31727,10,0,3.101
31727,40,1,0.808
