subject,Coherence (%),Correct (1) / Incorrect (0),RT (s),blkNum
31727,5,1,1.041,22
31727,10,0,0.827,22
31727,5,1,0.94,22
31727,5,1,0.947,22
31727,5,1,0.948,22
31727,40,1,0.654,22
31727,10,0,0.824,22
31727,5,0,1.208,22
31727,10,0,0.927,22
31727,0,0,0.727,22
31727,10,1,1.264,22
31727,5,0,1.281,22
31727,5,0,1.315,22
31727,0,0,1.099,22
31727,5,1,1.519,22
31727,5,0,1.246,22
31727,10,1,0.777,22
31727,0,0,1.537,22
31727,10,1,1.56,22
31727,0,0,1.311,22
31727,0,1,1.681,22
31727,0,1,1.677,22
31727,0,0,3.498,22
31727,40,1,0.822,22
31727,10,1,1.094,22
31727,40,1,1.095,22
31727,5,0,1.21,22
31727,0,1,0.784,22
31727,0,0,0.687,22
31727,40,1,0.59,22
31727,0,0,0.868,22
31727,10,1,0.608,22
31727,10,0,0.989,22
31727,40,1,0.509,22
31727,0,0,0.796,22
31727,40,1,1.28,23
31727,40,1,0.941,23
31727,40,1,0.536,23
31727,40,1,0.514,23
31727,0,0,0.802,23
31727,5,0,0.537,23
31727,40,1,0.513,23
31727,5,0,0.842,23
31727,40,1,0.594,23
31727,10,0,0.701,23
31727,10,1,0.637,23
31727,10,1,0.724,23
31727,40,1,0.568,23
31727,40,1,0.556,23
31727,10,1,0.55,23
31727,0,0,0.809,23
31727,10,1,0.581,23
31727,40,1,0.628,23
31727,0,0,0.955,23
31727,5,1,0.911,23
31727,5,1,0.959,23
31727,40,1,0.593,23
31727,40,1,0.569,23
31727,5,1,1.32,23
31727,0,0,1.854,23
31727,0,0,0.741,23
31727,10,1,1.176,23
31727,0,1,1.251,23
31727,40,1,0.67,23
31727,40,1,0.645,23
31727,10,0,1.044,23
31727,10,1,0.553,23
31727,5,0,1.072,23
31727,10,1,1.376,23
31727,5,0,1.14,23
31727,10,1,0.938,23
31727,5,1,1.265,23
31727,10,1,1.057,23
31727,40,0,0.718,23
31727,40,0,0.598,23
31727,0,1,0.714,23
31727,0,0,1.13,23
31727,0,1,1.131,23
31727,0,1,0.661,24
31727,5,1,0.741,24
31727,10,1,0.66,24
31727,40,1,0.701,24
31727,40,1,0.703,24
31727,5,0,1.03,24
31727,5,0,0.6,24
31727,10,1,1.073,24
31727,40,1,0.666,24
31727,10,0,0.537,24
31727,10,0,0.648,24
31727,40,1,0.554,24
31727,0,1,0.964,24
31727,5,0,0.762,24
31727,0,0,0.708,24
31727,40,1,0.585,24
31727,0,1,1.393,24
31727,0,0,1.037,24
31727,5,0,1.022,24
31727,5,0,0.387,24
31727,40,1,0.449,24
31727,5,0,0.634,24
31727,40,1,0.477,24
31727,10,0,0.823,24
31727,0,0,0.675,24
31727,0,0,0.839,24
31727,5,1,0.571,24
31727,40,1,0.663,24
31727,5,0,0.78,24
31727,40,1,0.504,24
31727,5,0,0.713,24
31727,40,1,0.739,24
31727,40,1,0.572,24
31727,0,1,0.897,24
31727,40,1,0.745,24
31727,40,1,0.549,24
31727,40,1,0.524,24
31727,5,0,1.113,24
31727,5,1,0.78,24
31727,40,1,0.585,24
31727,10,1,1.101,24
31727,10,1,0.824,24
31727,10,1,0.76,24
31727,10,1,1.012,24
31727,5,1,0.878,24
31727,0,0,0.667,25
31727,10,0,0.443,25
31727,0,0,0.737,25
31727,5,0,0.795,25
31727,5,0,0.541,25
31727,0,0,0.579,25
31727,40,1,0.507,25
31727,40,1,0.521,25
31727,0,1,0.987,25
31727,0,0,0.836,25
31727,0,1,0.524,25
31727,40,1,0.64,25
31727,40,1,0.513,25
31727,0,1,0.628,25
31727,10,1,0.572,25
31727,5,0,0.816,25
31727,40,1,0.494,25
31727,0,0,0.747,25
31727,0,0,1.403,25
31727,0,1,1.315,25
31727,5,0,0.758,25
31727,40,1,0.487,25
31727,40,1,0.533,25
31727,0,1,1.205,25
31727,5,0,0.915,25
31727,40,1,0.358,25
31727,10,0,1.038,25
31727,10,1,0.712,25
31727,10,1,1.061,25
31727,10,1,0.805,25
31727,0,0,1.857,25
31727,5,0,1.042,25
31727,5,1,0.484,25
31727,0,1,1.76,25
31727,10,1,1.521,25
31727,10,1,0.864,25
31727,5,1,1.092,25
31727,40,1,0.739,25
31727,10,1,0.649,25
31727,10,0,0.703,25
31727,0,1,0.823,25
31727,40,1,0.779,25
31727,10,1,0.719,25
31727,0,1,0.731,26
31727,0,1,0.859,26
31727,10,1,0.679,26
31727,0,1,0.696,26
31727,0,1,0.852,26
31727,40,1,0.563,26
31727,5,0,0.788,26
31727,5,0,0.981,26
31727,5,0,0.832,26
31727,5,0,0.567,26
31727,0,1,0.663,26
31727,5,1,0.865,26
31727,10,1,0.696,26
31727,10,1,0.638,26
31727,0,1,0.539,26
31727,40,1,0.524,26
31727,10,1,0.719,26
31727,5,1,0.603,26
31727,10,1,0.68,26
31727,5,1,0.607,26
31727,5,1,0.818,26
31727,5,1,0.668,26
31727,5,1,0.726,26
31727,40,1,0.727,26
31727,5,0,0.887,26
31727,40,1,0.538,26
31727,10,1,0.895,26
31727,10,1,0.972,26
31727,40,1,0.654,26
31727,0,0,1.008,26
31727,5,1,0.682,26
31727,40,0,0.593,26
31727,0,0,0.758,26
31727,5,0,1.338,26
31727,10,1,0.758,26
31727,5,1,0.705,26
31727,40,1,0.619,26
31727,10,0,0.577,26
31727,5,1,0.481,26
31727,40,1,0.635,26
31727,5,0,0.659,26
31727,0,1,0.696,26
31727,5,1,1.099,26
31727,10,1,0.503,26
31727,40,1,0.292,26
31727,40,1,0.53,26
31727,10,0,0.681,26
31727,10,1,0.355,26
31727,40,1,0.558,26
31727,40,1,0.959,27
31727,5,1,0.615,27
31727,5,0,0.379,27
31727,0,1,0.56,27
